accnumber_hash,extragb_gb_tot_avg,extragb_event_count_avg,extragb_cost_tot_avg,extragb_gb_tot_cv,extragb_cost_tot_cv
000132cfc16d6410dc5815ce254aa7b70d33c94a257219e8b91d236064372488,2,2,200,0,0
000222a784776a5342c6a8e7e6fe1c2dcdb49cd146defe1ac96041a08b29bccc,3.25,1.5,325,0.461538462,0.461538462
0003a43ae6c76b1bee6192e502eca2e8c240bf31a48877dc3d1ca68e24033aba,7,3,700,0.597022515,0.507044922
00070055f2c8967c1ebc6fe9f8e53d8bfcf631b4c946633c99d5160c065419f0,23,4,1930,0.307437731,0.271118662
0008af8f3b99a0f4f3947e0eea82e7d0a2a828fa2a3e353b8512c89f994e6680,2,1,200,2.089578802,1.774657226
000a93afdcd58ca989d8d17e4e207ee04c43a12e6508e29a9ffc06faafd6a45a,20,1,1500,0,0
000bfea68c2d1a95b13fed548c2014595c63ff4a6df5bed71d431f54b288525e,2,1.5,200,0.707106781,0.707106781
000df02dc5302be34a1bc285ba9de52ef6c34ba6a3705d7a4e8cd095661b8595,1,1,100,4.179157603,3.549314453
000e69da8ac0bfca5b0833233cac5352ace44b1e52834fe4eab52eb28f23b437,5.25,3,487.5,0.767834071,0.758905056
000f0dcea5688150685cc57b0050a8fae13587ce2a26ba3e34696ed19da3815a,7,2,625,1.212183053,1.187939392
000f63e0a432d3e5e924b57706a69c86abc3c2e824287887d93edcb75394fc33,5,1,425,0.835831521,0.835132812
000fad30c244c50ab0030bbb3327a3f5027fd88cbd34d3632df4d5ff82080f26,1.5,1.5,150,0.471404521,0.471404521
0012d3f877f14e2ed4a26f2f753ce8de6973fe127ca84d91ce19f0f13a140919,2,1,200,2.089578802,1.774657226
0015eccccc3a76850ab83c232c40ddee0690f5ca95edd56c41cf390e2518d848,5,1,425,0.835831521,0.835132812
0017528f1a9b1b94e77177568b6224cf861146ca193474932d3940a23866f3ee,10,1,850,0.41791576,0.417566406
001a62b65aa2132a89fafe33836dc35c11a9c35fc7c28baa722527291e7ba1c3,9.5,2,830,0.669890635,0.690068064
001da2afe44a874991c4ba74edd25cd0265555fca318b625ae25339f4985bf87,12,1,1020,0.348263134,0.347972005
001e331e33075f1befd3ecd6b9f39fe04c72ddf20bb01e427139a10a19c12fd5,6,2,525,0.23570226,0.269374012
001e37edf3f2554d2e2751b86ecb1b65c3038c3e9c946755e78d58a752590bc8,1,1,100,4.179157603,3.549314453
001ea5d36225b065e38409b7378d7fd818ec6a9397a00c86b1f0d7048876921b,9.666666667,2.333333333,841.6666667,0.836162459,0.857450895
001f260e758b4cc1cb503c8addf90b597612c6b9b2363f88d6a336dfb9a7baf9,10,2.8,886,0.905538514,0.867638651
001f9f29581c4833cd8a67b8414b051c01b7c477783ab250af920fc1355b3871,5,1,425,0.835831521,0.835132812
0021ef5fa2b788bf38e630c2b465b8d55883ab642f5afd29fea99b6f41fe82ac,1,1,100,4.179157603,3.549314453
0023f172ea8f6ca686fb19ad917defd2e820ba50f33976f6d3d392d6d06be5bc,5,1,425,0,0
002480d26202a7d3cfe18acfb3ff92171d967082ba6dd5ed8f61a7a896db9e9e,2,1.5,200,0.707106781,0.707106781
0026a3dbbe62613ee5bdfb96c0a478b574248ef8b7d378282a62c0bb3c71e7ba,2,1.5,200,0,0
