accnumber_hash,avg_event_source_faultRef_HASH_count,max_clearance_time,avg_event_source_clearance_time_seconds
684948f8b2192907af9d25ce7fa9484cf40ffd32bdb25968946d744f4f5afa89,2,14759,28381
b45b1f3edf18b03aa72fa692d8f292c5dfead42d7ff1c35a192bc7be6dcbe969,3,84941,153319
5a4f1b47bb59d40828be0225917f3bc53da2d9026f7f9b53b078e2883af78313,3,60966,102928
593000f3e6de54bd235dd3400d08196d6870222b8332f581860657790cbcb44e,1,60613,60613
2f5b53e26ee9e9ae6f804a8cd421ee898e43a8ad5c9362c16b95d4133e07a894,1,84590,84590
dabbc53cd2922a51e73287c0a6aec6ac6a893899eca6c8c343668a99031df715,3,83273,157774
7ec20c16c3c1019635e598d9dd6cca770a6a2194833821991c42b58f7d3af7d9,1,55314,55314
06163744327db048630a892e88551110ad175431a471dec0d83835a85a997892,2,142572,200514
5b2624e50859710d5f0a066724608d2d1588200b65395928086227f82ca02429,1,49944,26991
ec3aece6b98009c6e4f6088c205f607add7e4f28e1ccbdadd3530d8060dd1597,1,3901,3901
6d33dce9a84c04795d455ddd7cd231878edde67920cea4ce15af0a4a877a9fb5,5,90229,264884
a13bb4f9a11bd217e664ffedc4bc0bf5cdd6ba4e9e71a8c405556334f186b347,1,19450,19450
f4886ab20c185f68900a483d1efe9e83efeb1317f59d70d310a21325b8c337f1,1,217782,217782
4e89871e258f1533248e6284168887da0b8f8db6c773bd485422aa65741ce91d,1.5,20606,16368.5
082dc4aa69ca3cc043001787b533bed40217ba08c253592dccebae4f8ea4d29b,3.75,60087,68024.5
5ad457f67252814eceb36f63d30d8bba61acc55b41dd5c636b6e0f8d190fa6ab,1,84316,84316
910eae4e4d3fe1435b65fdc1e2f290d3c4f00984e08a57861a65859cfd9df204,2,73557,130780
92aca9b015296063cdf4d9777dc953b3a722b52324f48f5176b6efc5350fb97f,2,10708,18971
b16246e712c94b771fa2713ce6e1aec632905f4af27399856468d5b78f0e9e78,3,80189,92606
99c0371667fb214f4dcb7928174bc0eec6d1f0a8faed91dd40a76b41f5b647fb,1,24020,24020
c6336c2fcdfc7fcdfcd04a3ee371070af8ec93b352004aafd2aa70bc9a0e6a4d,5,83640,393414
cdccd92473e87ba13d6d2506dc2e5ed36c32006ad0155a1537f1f557e455d3be,1,55512,37170.5
f88e8fefce9a441b28bf487e56e41194bc8b8b2c0b043c648b1a3d4fd4085371,1,21421,21421
e04dd57d8b9b5d59cb72153b502fc45608f563caa5f488413914196fc8ca2de0,4,223451,473410
48b32a315432fc90bbef0f1d70942f44da21d4458a78cddfba2bc823cf5faf75,2,7503,8706
69bd92483343d148dc0d321e7e94336c0c2ae48cd45ce4f1bbf80822e169a9ea,2,62416,71370
d9ae2b605e9ba39283dd198d072969a91154372e499361c1af0bd54c48eccd5a,1,60415,60415
ccc1b4443b8f350ac7ff1ef45cc3d09b0a1504ea0cc96b5f5c318392e74c7563,2,55634,40146
b783c9ec1fd8ed0bab89145562015ff38d87f63a74788733f1bf072475e5db6f,2,32,61
85465a97d8c605196405fa10dfc62322bab0069798d72cd50b239791dd1eec4f,3,47273,106224
7d5a58424fdd8990b59b9afab57760a1cd1b2bc03ff8e5e093266f136a2d59cc,1,72098,72098
be5427ec737c2287b7bfe4ebbb333eee3daa8aa6b38c7992c31abd11fa8e5e43,3,80306,142641
e0a67f32a4179f48f1d3b20293ed03f7dfa437e0ab874b42bf9f1dc53934bf5c,1,85224,85224
2680b65ff717f514a54c39b8c7b95c388c90538d1315ad45222be717fe1d8742,2,13041,18286
2ae4099d9715dd5e76174c8f03a5b65a4ab2ea4569e4fa05fc20f59f96c7e345,9,189686,626794
0b679a83604d9cedc769e48ba4a9de869b809de4c45dd8842403f22a1891fd5a,4,78738,229256
ac822f7c9aca523ae79181537b4e261a540f33c750a2ceac14ed2d34e92aae3c,2,19655,30430
c53eaf483778180f5b664c777c4939d47bb8fc09ac6c116af5bffa0d24b7d7b8,3,63567,164872
5a511e8d336d8926a18a7f18c5608f2501be3a229375f9e6bfd0f530418d14fc,2,63651,121253
124e4b410479d54751c3c6103feeae00dcf71afee08294ca330b7d847642ba3c,2,71429,142858
9fb6e1dbf8ae989e5f07deddbd3d010f3fedf4330da47d56e9d76e5fede32f15,1,28730,28730
2b6c152fd7bef4c359e0d3d5278260cc288e802c286b5725a975eb712a986af6,1,10726,10726
126d4b6312426f06da044fd76858e9a6ddf678cfdbac0dddd52aa83b80403d2a,2,167057,182890
ed1b65faeacd7bc2a4bd17ecd400288c369142540545d3e5656628939c3fe45b,3,75576,107526
c229aba0771bdf55559d55c886312b41a851201e89d8c70044d807f824d1a1b0,4.666666667,38308,29843
e28dbd1fba2be4f85b186873399b441e491bfa7164167b4e59bf2647722f6da7,2,16032,20460
3433f07e65520593cae1baed78d781afde312165d4005fb08bcff907a948e561,2,13922,20191
5e21fcfe834392657cad5aea8ec8258b0bfc78633fe75f3adb08ae9b628c425b,1,35726,35726
813f2da8cc7aec750f5de62b583c6f4b2d35d3cb6e8ce2ad867964bcbac72e7d,3,47319,115208
4f685f2f8db110ece4484abc4d683ab7c867def606a96f23872659aa5fd9aa27,2,21088,40384
e061fcd733a0ebf5b8d9907f84284896151233431ddd31618818c5836f35e4f3,1,39379,39379
a41334a0dcb7f1cc6cf067ace23d564565f4c78c84c8ea41c64d8f691a3ef5af,1,45940,43732.5
dbf7d4a1c4697238fe0d3f5535358e15b56ca96716ae2d40a2b37e4c6dd42fc0,6,130589,328257
cebb5ebceb794a6ebcb75f620e48acce68bc52e06d26be1084dc0350fe740d85,3,131330,325665
37a6703bb475562d0afc7cd0b989369b50bb15a1a70d99c69e975669bc8a00d6,1,85199,85199
786900e1a63bdf2e355307ae3aec78876b3bd0ec82d0cfcef04cedf7351b68c3,3,70541,194821
49c56f74ff071c5644e6e12a5da561798f41d55a444b17d4ef1455edf404522d,4,91745,231440
ab9e4bf94042a70d21d76d0f9345713c3f89e8bf9b5a5919b10a5498dd207884,7,111652,458696
a413dbf4f41526894f9fa619fec827562bc142172f11809a4a533855aadd189c,2,18160,27259
41981f31fd0f7e3580a11ecf5ee548f8d346b403bb8b603c8052212df3f3bd6b,3,67049,98057
e294d0f42ae999faf1fd750e371c43b72ad732bd8377b7809e1d60e06daf0856,1,6815,6815
d720d8fe93fbac9040d37f1c655d8020ff720bd1af239f6fdb8e5816f9d3733c,1,24802,24802
748340dbb2e9da0f724c3354b57c1b02814e2e9e1d0cf6c77ceee6bc6a5017e0,1.5,75567,47440.5
1ac87b2161fd39bfe5fb1ed0d1ed1b98278883cd23a99522c29b868991e69091,3,68296,149895
37857078b8d3726dc214d2a255ca6c21706bdda597724eb5df15d5db0c6b0a05,4,63670,147827
52dc1037fbd79dae7049b8bd429405b52f91afbb5129791bd8a6b6b422a77938,1,1195,1195
09f7893b2b78cfc39d522f0da2ea78390f46f844c0918923f522a7c177a5a5ac,1,98160,98160
5a5358a7498c33141899c1302c5844269032e99c2eb8235b0664cc2fa4a4cabb,3,318471,421756
d1e670e930bb637806b99bce214b8e4143160c77db72dec79fa1a707e0a65cf5,3,33366,41896
1b5726649b06c058905aa1d5d731bf5c9c42b8f2d0a10f0e9ea314dac75382aa,1,79017,79017
5fa16298a4c93bd82358b4b4319264ce0e8892c5013af7f250de318a64261511,3.666666667,540091,677995.6667
2cc3b990186069795967651a87aea6184d6ef0337094fcbb6b1acc3e50662cf3,1,90180,90180
ed9087915373c939e2951b072d5f67f6885ec81a2e5e6284d441836da3b2b078,4,466887,763514
f3772c98c9a4d50aa7c460ed44e6e6c6da4072d7d9a0fe228f47882b2f0ecd5c,1,66997,66997
1dced2a247bfe6629e4030058cd3b57794b1804e9d5c6b0166372d9885cc7482,2,40918,65657
e33c2a6ec7eecabd63cf7e34b43b91cf9c7b189758ae736168e11e3bb024b728,1,3623,3623
a2d3f95c6a470dd831c314b3ba35bb6d1fbb7ec65a2a1ffb5745d2f3a0368984,1,65893,65893
b328d4fa0c8fa5061cee5b9bd9fc24f58968f2a9ac7a86cc7bef5128f4eb28bc,2,82831,87992
124262b7e22c7d7ab149bb0b86a3eb4fac88be02ecf74a63440bf6a03373c90c,2,70381,79612
ab107875afbbfdf3e296a42d464831e458b9f70e7204339c48fead9993f391b6,1,6302,6302
2356d98ffe5d173f35cbe63e606b989c269bcfedf3639dac59580b71f2c27ff6,3,18413,25281
dc3f0c1ab82739a7dfab7e5d044ec092549b25f740a04127cea9836859030be0,1,83171,83171
18e9c05358e55187f9e876e79e3fa5a0d8acd2314cca48d5f5a3f0eeadfad6b2,1,13119,13119
d1dd96ae2c57d20c8ab45b41202d9ebfca93afb8e2b82196b910f5ad2fb6c25f,1,10856,10856
d5c3471acfbcd7a6add271669acbfb2933c1318ad9d6131b650a8c26f40f1ac3,9,74657,393686
5eee5f3990e7273c72dc036ea66d1453472dd591cc584f8d3bac203ea65e9e09,5,128967,239238
6e666de16f3e8bd9b58db57191f1a3decb2b189ccc6793a9f902d3faad25ce42,4,243509,425943
3a3a124df9634ae63c2705a5c38ef6e4bf4d1a01fddc5d882ae246c340fdf539,1,62958,62958
51fcb8e919be12c1e231753e9605cc517619ea298a4b349b508a669df796b9ba,1,6399,6399
af9008f1265e8aecd3b518b3150553c874bfa5b539d32a4791f3e9d6e5f7e88d,1,8124,8124
57e4d87869f3f806ed396a81369e2da661f9c62890ff18a5651ba497bbef0bdd,2,90634,108681
5fd93f302f060c03bb5205472cd01afef8807267d7c198d6d7d0118ecd415964,3,80739,208742
a9b9125ab9c0f677f83b37fb1a20129ddd6b304150566ad92b9d48fa4cc0d50e,1,79914,75144.5
89ea90c4d2424419edbd12b72591bff22c9a9428fc5e08d8235ae68d9c89daf6,3,91741,166752
9c947d3e1a4cdaac76c8584c56908b8dbd82fad45e5ae9880f10e9b44d3ebd96,2,72193,130279
